120, 100, 6
0, 500, 6
0, 300, 5
180, 100, 4
180, 200, 4
0, 400, 1
180, 300, 4
180, 400, 4
180, 500, 4
0, 300, 2
0, 200, 2
0, 400, 2
180, 100, 4
180, 200, 4
180, 300, 4
60, 100, 3
180, 400, 4
60, 500, 3
180, 500, 4
60, 150, 3
180, 100, 4
60, 450, 3
180, 200, 4
180, 300, 4
180, 400, 4
60, 200, 5
180, 500, 4
60, 400, 5
180, 100, 4
60, 250, 5
180, 200, 4
60, 350, 5
180, 300, 4
60, 300, 5
180, 400, 4
180, 500, 4
60, 490, 1
60, 400, 1
60, 300, 1
60, 200, 1
60, 100, 1
180, 100, 4
180, 500, 4
0, 100, 6
0, 200, 6
0, 300, 6
0, 400, 6
0, 500, 6
180, 150, 4
120, 450, 4
60, 500, 2
60, 400, 2
60, 300, 2
60, 200, 2
60, 100, 2
